id,barcode,name,price
542,BELT,212005300001,P 250.00
543,SWIMMING TRUNKS,218003500002,P 230.00
544,M.JACKET,218001800001,P 180.00
545,MAGIC PILLOW,214000700001,P 220.00
546,SALE BLOUSE,213001200001,P 99.00
547,K. BLOUSE,219001500001,P 199.00
548,SALE JACKET,218006100001,P 199.00
549,M. LONGSLEEVE,218001600001,P 280.00
550,K.BAG,214003600002,P 650.00
551,POKEMON,214002700001,P 380.00
552,POKEMON,214001400001,P 230.00
553,SALE M. SHORT,218004900002,P 99.00
554,K.DRESS,219002100001,P 250.00
555,DRESS,213003900001,P 320.00
556,K.JOGGER,219003400001,P 220.00
557,L.JOGGER,212006100002,P 250.00
558,M.LONG SLEEVE,218007400001,P 119.00
559,DRESS/BLOUSE,213103400001,P 379.00
560,BLOUSE,213100400001,P 79.00
561,M.SHORT/PANTS,218101100001,P 149.00
562,T-SHIRT/SANDO,218100800001,P 119.00
563,BLOUSE@B,213100600001,P 99.00
564,SALE ASSRTD,218100600001,P 99.00
565,BLOUSE/SKIRT,213100300001,P 69.00
566,BLOUSE(B&C),213101000001,P 139.00
567,T-SHIRT,218102100002,P 249.00
568,M.JACKET/M.POLO,218103100002,P 349.00
569,SWIMSUIT,213101100002,P 149.00
570,BACKPACK,214005300001,P 229.00
571,BACKPACK@K,214005500001,P 249.00
572,BACKPACK,214005800001,P 279.00
573,BACKPACK@K,214006000001,P 299.00
574,L.BAG 3N 1,214006300002,P 329.00
575,K.BAG,214007700002,P 469.00
576,K.BAG,214009000002,P 599.00
577,TEEN T-SHIRT(B&C),218101000001,P 139.00
578,M.SHORT,218101400001,P 179.00
579,L.TOKONG,213101400002,P 179.00
580,POLO SHIRT,218102900002,P 329.00
581,POLO SHIRT,218102400002,P 279.00
582,M.PANTS,218102600002,P 299.00
583,BLOUSE/CROPTOP,213101100002,P 149.00
584,K.SHORT,219105700001,P 119.00
585,BLOUSE/TERNO,213100900001,P 129.00
586,M.SHORT,218100800001,P 119.00
587,BLOUSE,213101600001,P 199.00
588,TOWEL,214104700002,P  35.00
589,TOWEL,214103200001,P 180.00
590,TOWEL/BLANKET,214105100002,P 199.00
591,M.SANDO(B&C),218101100001,P 149.00
592,POLO SHIRT,218102900002,P 329.00
593,M.RASHGUARD@T,218103300001,P 369.00
594,M.RGUARD/ T-SHIRT,218103500001,P 389.00
595,T-SHIRT W/C,218103300001,P 369.00
596,K.PANTS,219105900002,P 329.00
597,M.SHORT,218101600001,P 199.00
598,M.SHORT/T-SHIRT,218100900001,P 130.00
599,BLOUSE,213102600001,P 299.00
600,BLOUSE/JACKET,213102100001,P 249.00
601,K.BLOUSE,219105400001,P 79.00
602,K.PANTYPACK/BRIEF,219106200001,P 149.00
603,L.JACKET,213103100002,P 349.00
604,CARGO SHORT,218103000001,P 339.00
605,M.SHORT@R,218102800001,P 329.00
606,M.SHORT/PANTS,218103100002,P 349.00
607,M.SHORT,218102500001,P 289.00
608,M.SHORT@I,218101300001,P 169.00
609,BLOUSE/DRESS,213102900002,P 329.00
610,BLS/L.JACKET,213101900002,P 229.00
611,SQUAREPANTS,212102500001,P 179.00
612,L.PANTS/SHORT,212102800001,P 199.00
613,L.TOKONG,212102300002,P 249.00
614,SQ.PANTS@S,212103000001,P 299.00
615,SHORT/SKIRT@J,212102700001,P 259.00
616,L.PANTS/SKIRT,212104200001,P 479.00
617,JUMPSUIT,212104000002,P 339.00
618,BLOUSE,213102600001,P 299.00
619,L.SHORT,212102600001,P 229.00
620,COVER UP,213100800002,P 119.00
621,COVER-UP@A,213101500002,P 179.00
622,L.TERNO/DRESS,213104800001,P 699.00
623,COIN PURSE,214004200001,P 119.00
624,UNISEX JACKET,218101700002,P 199.00
625,M.JOGGER,218101600001,P 200.00
626,H.BAND/CLAMS,217000700002,P 75.00
627,BAG ACCESSORIES,214004500001,P 149.00
628,SLING BAG,214004700001,P 169.00
629,SLING BAG,214005000002,P 199.00
